datum,inzidenz,ismaning,impfungen,mutation
2022-04-06,1148,0,266063,0
2022-04-05,1247,0,266050,0
2022-04-04,1169,0,266038,0
2022-04-03,985,0,265993,0
2022-04-02,985,0,265993,0
2022-04-01,985,0,265993,0
2022-03-31,937,0,265921,0
2022-03-30,832,0,265888,0
2022-03-29,771,0,265859,0
2022-03-28,744,0,265834,0
2022-03-27,1141,0,265753,0
2022-03-26,1141,0,265753,0
2022-03-25,1141,0,265753,0
2022-03-24,1244,0,265694,0
2022-03-23,1299,0,265657,0
2022-03-22,1431,0,265628,0
2022-03-21,1517,0,265608,0
2022-03-20,1708,0,265491,0
2022-03-19,1708,0,265491,0
2022-03-18,1708,0,265491,0
2022-03-17,1690,0,265422,0
2022-03-16,1617,0,265394,0
2022-03-15,1612,0,265359,0
2022-03-14,1718,0,265313,0
2022-03-13,1462,0,265228,0
2022-03-12,1462,0,265228,0
2022-03-11,1462,0,265228,0
2022-03-10,1287,0,265185,0
2022-03-09,1132,0,265155,0
2022-03-08,1034,3517,265110,0
2022-03-07,1040,3435,265083,0
2022-03-06,1041,3361,264997,0
2022-03-05,1041,3361,264997,0
2022-03-04,1041,3361,264997,0
2022-03-03,998,3329,264951,0
2022-03-02,1043,3276,264920,0
2022-03-01,1101,3218,264905,0
2022-02-28,1228,3181,264873,0
2022-02-27,1269,3132,264748,0
2022-02-26,1245,3132,264748,0
2022-02-25,1241,3132,264748,0
2022-02-24,1285,3098,264698,0
2022-02-23,1284,3074,264671,0
2022-02-22,1358,3012,264639,0
2022-02-21,1344,2962,264610,0
2022-02-20,1313,2907,264484,0
2022-02-19,1313,2907,264484,0
2022-02-18,1313,2907,264484,0
2022-02-17,1336,2883,264443,0
2022-02-16,1342,2834,264390,0
2022-02-15,1344,2771,264347,0
2022-02-14,935,2738,264281,0
2022-02-13,1546,2671,264127,0
2022-02-12,1546,2671,264127,0
2022-02-11,1546,2671,264127,0
2022-02-10,1767,2622,264020,0
2022-02-09,1845,2586,263950,0
2022-02-08,1948,2516,263868,0
2022-02-07,1916,2479,263800,0
2022-02-06,1940,2379,263602,0
2022-02-05,1938,2379,263602,0
2022-02-04,2013,2379,263602,0
2022-02-03,2037,2336,263495,0
2022-02-02,1895,2254,263413,0
2022-02-01,1889,2189,263348,0
2022-01-31,1893,2072,263285,0
2022-01-30,1900,2001,262958,0
2022-01-29,1920,2001,262958,0
2022-01-28,1831,2001,262958,0
2022-01-27,1778,1959,262567,0
2022-01-26,1735,1921,262567,14994
2022-01-25,1718,1857,262380,14822
2022-01-24,1673,1801,262226,14456
2022-01-23,1607,1755,261726,14000
2022-01-22,1499,1755,261726,14000
2022-01-21,1425,1755,261726,14000
2022-01-20,1239,1722,261455,13691
2022-01-19,1201,1686,261243,13140
2022-01-18,1022,1623,261038,12797
2022-01-17,958,1600,260871,12557
2022-01-16,951,1574,260124,12111
2022-01-15,901,1574,260124,12111
2022-01-14,815,1574,260124,12111
2022-01-13,762,1562,259836,11849
2022-01-12,672,1535,259621,11609
2022-01-11,439,1490,259370,9650
2022-01-10,371,1457,259255,9608
2022-01-09,306,1417,258836,9577
2022-01-08,374,0,0,0
2022-01-07,306,1417,258836,9577
2022-01-06,217,1399,258437,9545
2022-01-05,217,1399,258437,9545
2022-01-04,204,1384,257521,9504
2022-01-03,193,1374,257361,9521
2022-01-02,151,1351,256800,9763
2022-01-01,151,1351,256800,9763
2021-12-31,151,1351,256800,9763
2021-12-30,151,1351,256800,9763
2021-12-29,152,1341,256522,9641
2021-12-28,143,1335,256105,9578
2021-12-27,147,1331,255818,9429
2021-12-26,151,1319,255227,9331
2021-12-25,151,1319,255227,9331
2021-12-24,151,1319,255227,9331
2021-12-23,151,1319,255227,9331
2021-12-22,158,1313,254613,9291
2021-12-21,167,1307,254047,9247
2021-12-20,188,1297,254187,9247
2021-12-19,193,1289,251928,9123
2021-12-18,193,1289,251928,9123
2021-12-17,193,1289,251928,9123
2021-12-16,187,1280,251272,9044
2021-12-15,207,1271,250692,8873
2021-12-14,221,1270,250459,8863
2021-12-13,257,1262,250227,8841
2021-12-12,276,1249,249663,8742
2021-12-11,276,1249,249663,8742
2021-12-10,276,1249,249663,8742
2021-12-09,297,1244,249333,8672
2021-12-08,314,1236,249093,8586
2021-12-07,340,1227,248823,8543
2021-12-06,370,1218,248603,8449
2021-12-05,380,1196,247745,8234
2021-12-04,380,1196,247745,8234
2021-12-03,380,1196,247745,8234
2021-12-02,377,1185,247342,8205
2021-12-01,387,1171,246995,8079
2021-11-30,417,1150,246665,8019
2021-11-29,442,1136,246406,7924
2021-11-28,470,1105,245370,7585
2021-11-27,470,1105,245370,7585
2021-11-26,470,1105,245370,7585
2021-11-25,469,1088,245175,7460
2021-11-24,441,1063,244443,7398
2021-11-23,450,1043,243873,7336
2021-11-22,482,1027,243873,7232
2021-11-21,418,1003,243015,6933
2021-11-20,418,1003,243015,6933
2021-11-19,418,1003,243015,6933
2021-11-18,415,984,242657,6844
2021-11-17,370,972,242289,6778
2021-11-16,408,954,241998,6445
2021-11-15,408,944,241766,6445
2021-11-14,348,932,241014,6202
2021-11-13,348,932,241014,6202
2021-11-12,348,932,241014,6202
2021-11-11,330,915,240713,6107
